45828066,Rua Princesa Isabel,- de 525/526 ao fim,Pequi,3280,5
45828069,Rua Projetada 03,,Pequi,3280,5
45828072,Rua Jacarandá,,Pequi,3280,5
45828075,Travessa Jacarandá,,Pequi,3280,5
45828078,Rua Santa Maria,,Pequi,3280,5
45828081,Rua Projetada 06,,Pequi,3280,5
45828084,Rua Topázio,,Pequi,3280,5
45828087,Rua Nilo Peçanha,,Pequi,3280,5
45828090,Rua Aloísio Macedo,,Pequi,3280,5
45828093,Travessa Aloísio Macedo,,Pequi,3280,5
45828096,Rua Luiz Avelino,,Pequi,3280,5
45828099,Rua Nossa Senhora de Fátima,,Pequi,3280,5
45828102,Rua Tupiniquins,- de 706/707 ao fim,Pequi,3280,5
45828105,Rua Marechal Deodoro,,Pequi,3280,5
45828108,Rua Deprá,,Pequi,3280,5
45828111,Rua Recife,,Pequi,3280,5
45828114,Rua Alagoas,,Pequi,3280,5
45828117,Rua Mato Grosso,,Pequi,3280,5
45828120,Rua Pará,,Pequi,3280,5
45828123,Rua Antônio Furlaneto,,Pequi,3280,5
45828126,Rua da Linha,,Pequi,3280,5
45828129,Rua Goiás,,Pequi,3280,5
45828132,Travessa Goiás,,Pequi,3280,5
45828135,Rua Romanem,,Pequi,3280,5
45828138,Rua Cristóvão Colombo,- de 330/331 a 498/499,Pequi,3280,5
45828141,1ª Travessa Cristóvão Colombo,,Pequi,3280,5
45828144,2ª Travessa Cristóvão Colombo,,Pequi,3280,5
45828147,Praça Cristóvão Colombo,,Pequi,3280,5
45828150,Rua Santa Cruz,,Pequi,3280,5
45828153,Travessa Marechal Deodoro,,Pequi,3280,5
45828156,Rua Cristóvão Colombo,- até 328/329,Pequi,3280,5
45828159,Rua Lomanto Júnior,- até 368/369,Pequi,3280,5
45828162,Rua Elisângela Pereira Souza,- até 308/309,Pequi,3280,5
45828165,Rua Belmonte,- até 328/329,Pequi,3280,5
45828168,Rua Elisângela Pereira Souza,- de 310/311 ao fim,Pequi,3280,5
45828171,Rua da Consolação,- até 599/600,Pequi,3280,5
45828174,Rua Lomanto Júnior,- de 370/371 ao fim,Pequi,3280,5
45828177,Rua Dom Pedro I,- até 599/600,Pequi,3280,5
45828180,Rua Marcílio Dias,- até 499/500,Pequi,3280,5
45828183,Rua Santa Terezinha,- até 499/500,Pequi,3280,5
45828186,Rua Tupis,,Pequi,3280,5
45828189,Rua Canta Galo,,Pequi,3280,5
45828192,Rua Pau Brasil,- até 450/451,Pequi,3280,5
45828195,Rua Santa Terezinha,- de 501/502 ao fim,Pequi,3280,5
45828198,Rua Pataxós,,Pequi,3280,5
45828201,Rua Bela Vista,- de 571/572 ao fim,Pequi,3280,5
45828204,Rua Belmonte,- de 330/331 ao fim,Pequi,3280,5
45828207,Rua Pau Brasil,- de 452/453 ao fim,Pequi,3280,5
45828210,Rua Belo Horizonte,,Pequi,3280,5
45828213,Rua da Consolação,- de 601/602 ao fim,Pequi,3280,5
45828216,Travessa Dom Pedro I,,Pequi,3280,5
45828219,Rua Nova,,Pequi,3280,5
45828222,Rua Dom Pedro I,- de 601/602 ao fim,Pequi,3280,5
45828225,Rua Vera Cruz,,Pequi,3280,5
45828228,Rua Santa Helena,,Pequi,3280,5
45828231,Travessa Marcílio Dias,,Pequi,3280,5
45828234,Rua Alberto Farias,,Pequi,3280,5
45828237,Rua Nova Esperança,,Pequi,3280,5
45828240,Rua Eunápolis,,Pequi,3280,5
45828243,Rua Marcílio Dias,- de 501/502 ao fim,Pequi,3280,5
45828246,Rua do Cajueiro,,Pequi,3280,5
45828249,Travessa da Consolação,,Pequi,3280,5
45828252,Rua Central,,Pequi,3280,5
45828255,Travessa Pau Brasil,,Pequi,3280,5
45828258,Travessa Central,,Pequi,3280,5
45828261,Rua do Recanto,,Pequi,3280,5
45828264,Rua Água Funda,,Pequi,3280,5
45828267,Rua Cristóvão Colombo,- de 501 ao fim - lado ímpar,Pequi,3280,5
45828270,Rua Cristóvão Colombo,- de 500 ao fim - lado par,Minas Gerais,3280,5
45828272,Rua Jacinto,,Minas Gerais,3280,5
45828274,Rua Taiobeiras,,Minas Gerais,3280,5
45828276,Rua Itabira,,Minas Gerais,3280,5
45828278,Rua Pedra Azul,- até 144/145,Minas Gerais,3280,5
45828280,Avenida Governador Valadares,,Minas Gerais,3280,5
45828282,Rua Jequitinhonha,- até 128/129,Minas Gerais,3280,5
45828284,Rua Monte Azul,,Minas Gerais,3280,5
45828286,Rua Almenara,,Minas Gerais,3280,5
45828288,Rua Manga,,Minas Gerais,3280,5
45828290,Rua Jordânia,- até 418/419,Minas Gerais,3280,5
45828292,Rua Carlos Chagas,,Minas Gerais,3280,5
45828294,Rua Teófilo Otoni,,Minas Gerais,3280,5
45828296,Rua Nanuque,,Minas Gerais,3280,5
45828298,Rua Itaobim,,Minas Gerais,3280,5
45828300,Rua Atalaia,,Minas Gerais,3280,5
45828302,Praça Cristóvão Colombo,,Minas Gerais,3280,5
45828304,Rua Joaíma,,Minas Gerais,3280,5
45828306,Avenida do Leste,- lado ímpar,Minas Gerais,3280,5
45828310,Avenida do Leste,- lado par,Recanto das Árvores,3280,5
45828314,Rua Nanuque,,Recanto das Árvores,3280,5
45828318,Rua 1,,Recanto das Árvores,3280,5
45828322,Rua 4,,Recanto das Árvores,3280,5
45828326,Rua 2,,Recanto das Árvores,3280,5
45828330,Rua 3,,Recanto das Árvores,3280,5
45828334,Rua 5,,Recanto das Árvores,3280,5
45828338,Rua 6,,Recanto das Árvores,3280,5
45828342,Rua Jordânia,- de 420/421 ao fim,Recanto das Árvores,3280,5
45828346,Rua Jequitinhonha,- de 130/131 ao fim,Recanto das Árvores,3280,5
45828350,Rua Pedra Azul,- de 146/147 ao fim,Recanto das Árvores,3280,5
45828354,Avenida Vale Verde,- de 100/101 ao fim,Recanto das Árvores,3280,5
45828358,Avenida Vale Verde,- até 98/99,Recanto das Árvores,3280,5
45828362,Beco do Vale,,Recanto das Árvores,3280,5
45828366,Beco da Linha,,Recanto das Árvores,3280,5
45828370,Beco da Água,,Recanto das Árvores,3280,5
45828374,Beco da Nascente,,Recanto das Árvores,3280,5
45828378,Avenida Antônio Carlos Magalhães,,Recanto das Árvores,3280,5
45828382,Avenida Sol Nascente,- lado ímpar,Recanto das Árvores,3280,5
45828386,Rua da Jaqueira,,Recanto das Árvores,3280,5
45828390,Rua do Ipê,,Recanto das Árvores,3280,5
45828394,Rua Jequitibá,,Recanto das Árvores,3280,5
45828398,Rua da Mangabeira,,Recanto das Árvores,3280,5
45828402,Rua do Eucalipto,,Recanto das Árvores,3280,5
45828406,Rua da Macieira,,Recanto das Árvores,3280,5
45828410,Rua da Parreira,,Recanto das Árvores,3280,5
45828414,Rua do Angelim,,Recanto das Árvores,3280,5
45828418,Rua da Seringueira,,Recanto das Árvores,3280,5
45828422,Rua da Cerejeira,,Recanto das Árvores,3280,5
45828426,Rua do Limoeiro,,Recanto das Árvores,3280,5
45828430,Rua do Flamboyant,,Recanto das Árvores,3280,5
45828434,Rua da Laranjeira,,Recanto das Árvores,3280,5
45828438,Rua do Cedro,,Recanto das Árvores,3280,5
45828442,Rua do Vinhático,,Recanto das Árvores,3280,5
45828446,Rua do Pau Marfim,,Recanto das Árvores,3280,5
45828450,Rua do Córrego,,Recanto das Árvores,3280,5
45828460,Avenida Sol Nascente,- de 122 ao fim - lado par,URBIS III,3280,5
45828462,Caminho 1,,URBIS III,3280,5
45828464,Beco da Urbis,,URBIS III,3280,5
45828466,Caminho 2,,URBIS III,3280,5
45828468,Caminho 3,,URBIS III,3280,5
45828470,Caminho 4,,URBIS III,3280,5
45828472,Caminho 5,,URBIS III,3280,5
45828474,Rua 1,,URBIS III,3280,5
45828476,Rua Andaluzita,- lado ímpar,URBIS III,3280,5
45828478,Caminho 7,,URBIS III,3280,5
